home_team_enc,away_team_enc,home_wins_last3y,home_draws_last3y,home_losses_last3y,home_goals_for_last3y,home_goals_against_last3y,away_wins_last3y,away_draws_last3y,away_losses_last3y,away_goals_for_last3y,away_goals_against_last3y,home_h2h_winrate,result,date,home_team,away_team,result_enc
34,10,2.0,2.0,3.0,7.0,9.0,1.0,1.0,4.0,3.0,7.0,0.16666666666666666,D,2012-07-08,SPORT RECIFE,CORINTHIANS,1
10,6,1.0,2.0,4.0,4.0,8.0,4.0,0.0,3.0,17.0,13.0,0.16666666666666666,A,2012-07-11,CORINTHIANS,BOTAFOGO RJ,0
10,26,1.0,2.0,5.0,5.0,11.0,3.0,1.0,4.0,9.0,15.0,0.125,H,2012-07-14,CORINTHIANS,NAUTICO,2
16,3,1.0,5.0,2.0,8.0,10.0,6.0,1.0,1.0,12.0,3.0,0.125,A,2012-07-14,FIGUEIRENSE,ATLETICO-MG,0
29,11,3.0,3.0,2.0,9.0,8.0,2.0,1.0,5.0,13.0,16.0,0.25,H,2012-07-15,PONTE PRETA,CORITIBA,2
5,17,1.0,4.0,3.0,6.0,10.0,3.0,3.0,2.0,13.0,12.0,0.125,A,2012-07-15,BAHIA,FLAMENGO RJ,0
6,18,5.0,0.0,3.0,20.0,14.0,5.0,3.0,0.0,15.0,5.0,0.25,D,2012-07-15,BOTAFOGO RJ,FLUMINENSE,1
13,21,4.0,2.0,2.0,11.0,8.0,4.0,0.0,4.0,9.0,8.0,0.25,A,2012-07-15,CRUZEIRO,GREMIO,0
22,32,4.0,3.0,1.0,12.0,7.0,1.0,5.0,2.0,7.0,7.0,0.375,D,2012-07-15,INTERNACIONAL,SANTOS,1
27,33,1.0,2.0,5.0,7.0,10.0,5.0,0.0,3.0,11.0,9.0,0.125,D,2012-07-15,PALMEIRAS,SAO PAULO,1
34,30,2.0,3.0,3.0,8.0,10.0,2.0,2.0,4.0,5.0,10.0,0.125,H,2012-07-15,SPORT RECIFE,PORTUGUESA,2
35,2,5.0,2.0,1.0,15.0,11.0,0.0,2.0,6.0,4.0,15.0,0.375,H,2012-07-15,VASCO DA GAMA,ATLETICO GO,2
21,34,5.0,0.0,4.0,12.0,9.0,3.0,3.0,3.0,10.0,11.0,0.375,H,2012-07-18,GREMIO,SPORT RECIFE,2
32,6,1.0,6.0,2.0,7.0,7.0,5.0,1.0,3.0,21.0,15.0,0.125,D,2012-07-18,SANTOS,BOTAFOGO RJ,1
26,29,3.0,1.0,5.0,10.0,17.0,4.0,3.0,2.0,13.0,9.0,0.25,H,2012-07-19,NAUTICO,PONTE PRETA,2
30,13,2.0,2.0,5.0,6.0,12.0,4.0,2.0,3.0,12.0,11.0,0.25,A,2012-07-19,PORTUGUESA,CRUZEIRO,0
3,22,7.0,1.0,1.0,16.0,6.0,4.0,4.0,1.0,12.0,7.0,0.375,H,2012-07-19,ATLETICO-MG,INTERNACIONAL,2
17,10,4.0,3.0,2.0,15.0,13.0,2.0,2.0,5.0,7.0,12.0,0.375,A,2012-07-19,FLAMENGO RJ,CORINTHIANS,0
33,35,5.0,1.0,3.0,12.0,10.0,6.0,2.0,1.0,16.0,11.0,0.5,A,2012-07-19,SAO PAULO,VASCO DA GAMA,0
2,16,0.0,2.0,7.0,4.0,16.0,1.0,5.0,3.0,11.0,14.0,0.0,H,2012-07-20,ATLETICO GO,FIGUEIRENSE,2
11,27,2.0,1.0,6.0,14.0,20.0,1.0,3.0,5.0,8.0,11.0,0.25,D,2012-07-20,CORITIBA,PALMEIRAS,1
18,5,5.0,4.0,0.0,16.0,6.0,1.0,4.0,4.0,7.0,12.0,0.25,H,2012-07-20,FLUMINENSE,BAHIA,2
34,3,3.0,3.0,4.0,11.0,14.0,8.0,1.0,1.0,19.0,7.0,0.2,A,2012-07-21,SPORT RECIFE,ATLETICO-MG,0
35,32,7.0,2.0,1.0,17.0,11.0,1.0,7.0,2.0,7.0,7.0,0.4,H,2012-07-21,VASCO DA GAMA,SANTOS,2
10,30,3.0,2.0,5.0,10.0,12.0,2.0,2.0,6.0,6.0,14.0,0.2,D,2012-07-22,CORINTHIANS,PORTUGUESA,1
13,17,5.0,2.0,3.0,14.0,11.0,4.0,3.0,3.0,15.0,16.0,0.2,H,2012-07-22,CRUZEIRO,FLAMENGO RJ,2
